ID_marked,original_source_citation,specific_or_general,data_derivation_method
N-2408,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2409,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2410,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2411,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2412,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2413,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2414,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2415,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2416,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2417,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2418,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2419,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2420,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2421,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2422,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2423,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2424,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2425,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2426,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2427,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2428,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2429,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2430,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2431,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2432,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2433,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2434,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2435,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2436,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2437,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2438,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2439,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2440,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2441,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2442,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2443,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2444,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2445,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2446,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2447,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2448,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2449,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2450,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2451,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2452,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2453,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2454,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2455,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2456,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2457,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2458,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2459,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2460,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2461,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2462,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2463,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2464,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2465,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2466,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2467,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2468,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2469,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2470,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2471,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2472,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2473,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2474,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2475,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2476,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2477,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2478,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2479,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2480,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2481,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2482,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2483,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2484,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2485,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2486,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2487,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2488,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2489,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2490,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2491,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2492,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2493,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2494,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2495,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2496,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2497,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2498,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2499,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2500,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2501,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2502,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2503,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2504,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2505,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2506,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2507,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2508,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2509,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2510,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2511,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2512,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2513,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2514,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2515,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2516,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2517,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2518,Li Ling.Latest housing construction valuation handbook. Beijing: China Statistics Press; 2002.,Specific,Construction bill of materials
N-2519,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2520,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2521,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2522,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2523,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2524,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2525,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2526,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2527,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2528,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2529,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2530,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2531,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2532,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2533,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2534,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2535,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2536,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2537,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2538,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2539,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2540,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2541,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2542,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2543,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2544,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2545,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2546,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2547,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2548,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2549,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2550,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2551,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2552,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2553,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2554,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2555,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2556,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2557,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,unspecified
N-2558,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2559,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2560,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2561,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2562,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2563,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2564,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2565,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2566,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2567,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2568,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Database
N-2569,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2570,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2571,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2572,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2573,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2574,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2575,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2576,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2577,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2578,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2579,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2580,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2581,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2582,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2583,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2584,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2585,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Field survey
N-2586,"Kleemann, F., Lederer, J., Rechberger, H. & Fellner, J. GIS-based Analysis of Vienna’s Material Stock in Buildings. J. Ind. Ecol. 21, 368–380 (2017).",Specific,Construction bill of materials
N-2587,"Gruhler, K., Böhm, R., Deilmann, C. & Schiller, G. Stofflich-energetische Gebäudesteckbriefe - Gebäudevergleiche und Hochrechnungen für Bebauungsstrukturen. 38, 318 (2002).",Specific,Construction bill of materials
N-2588,"Gruhler, K., Böhm, R., Deilmann, C. & Schiller, G. Stofflich-energetische Gebäudesteckbriefe - Gebäudevergleiche und Hochrechnungen für Bebauungsstrukturen. 38, 318 (2002).",Specific,Construction bill of materials
N-2589,"Gruhler, K., Böhm, R., Deilmann, C. & Schiller, G. Stofflich-energetische Gebäudesteckbriefe - Gebäudevergleiche und Hochrechnungen für Bebauungsstrukturen. 38, 318 (2002).",Specific,Construction bill of materials
N-2590,"Gruhler, K., Böhm, R., Deilmann, C. & Schiller, G. Stofflich-energetische Gebäudesteckbriefe - Gebäudevergleiche und Hochrechnungen für Bebauungsstrukturen. 38, 318 (2002).",Specific,Construction bill of materials
N-2591,"Gruhler, K., Böhm, R., Deilmann, C. & Schiller, G. Stofflich-energetische Gebäudesteckbriefe - Gebäudevergleiche und Hochrechnungen für Bebauungsstrukturen. 38, 318 (2002).",Specific,Construction bill of materials
N-2592,"Gruhler, K., Böhm, R., Deilmann, C. & Schiller, G. Stofflich-energetische Gebäudesteckbriefe - Gebäudevergleiche und Hochrechnungen für Bebauungsstrukturen. 38, 318 (2002).",Specific,Construction bill of materials
N-2593,"Gruhler, K., Böhm, R., Deilmann, C. & Schiller, G. Stofflich-energetische Gebäudesteckbriefe - Gebäudevergleiche und Hochrechnungen für Bebauungsstrukturen. 38, 318 (2002).",Specific,Construction bill of materials
N-2594,"Gruhler, K., Böhm, R., Deilmann, C. & Schiller, G. Stofflich-energetische Gebäudesteckbriefe - Gebäudevergleiche und Hochrechnungen für Bebauungsstrukturen. 38, 318 (2002).",Specific,Construction bill of materials
